antibiotic.conc    hours CFU.per.ml
1                 0 0.0000000   1.08e+06
2                 0 0.1666667   1.77e+06
3                 0 0.3333333   2.74e+06
4                 0 0.5000000   2.70e+06
5                 0 0.6666667   4.00e+06
6                 0 0.8333333   5.50e+06
7                 0 1.0000000   7.20e+06
8                 0 1.3333333   1.79e+07
9                 0 1.6666667   3.67e+07
10                0 2.0000000   8.50e+07
11                0 2.5000000   2.86e+08
12                0 3.0000000   9.90e+08
13                0 3.5000000   1.80e+09
14                0 4.0000000   2.42e+09
15                0 4.5000000   3.90e+09
16                0 5.0000000   3.40e+09
17                3 0.0000000   1.08e+06
18                3 0.1666667   1.30e+06
19                3 0.3333333   1.69e+06
20                3 0.5000000   1.23e+06
21                3 0.6666667   1.48e+06
22                3 0.8333333   1.28e+06
23                3 1.0000000   9.70e+05
24                3 1.3333333   3.03e+05
25                3 1.6666667   4.00e+04
26                3 2.0000000   3.00e+04
27                3 2.5000000   1.00e+04
28                3 3.0000000   8.00e+03
29                3 3.5000000   6.90e+03
30                3 4.0000000   5.20e+03
31                3 4.5000000   2.00e+03
32                3 5.0000000   1.60e+03
33                6 0.0000000   1.08e+06
34                6 0.1666667   9.70e+05
35                6 0.3333333   1.44e+06
36                6 0.5000000   8.10e+05
37                6 0.6666667   5.00e+05
38                6 0.8333333   6.30e+05
39                6 1.0000000   4.77e+05
40                6 1.3333333   7.80e+04
41                6 1.6666667   1.34e+04
42                6 2.0000000   5.90e+03
43                6 2.5000000   4.00e+03
44                6 3.0000000   3.40e+03
45                6 3.5000000   2.30e+03
46                6 4.0000000   1.80e+03
47                6 4.5000000   6.00e+02
48                6 5.0000000   6.00e+02
49               24 0.0000000   1.08e+06
50               24 0.1666667   1.11e+06
51               24 0.3333333   1.09e+06
52               24 0.5000000   8.90e+05
53               24 0.6666667   2.54e+05
54               24 0.8333333   3.70e+04
55               24 1.0000000   2.70e+04
56               24 1.3333333   9.50e+03
57               24 1.6666667   5.10e+03
58               24 2.0000000   1.30e+03
59               24 2.5000000   2.10e+03
60               24 3.0000000   5.00e+02
61               24 3.5000000   5.00e+02
62               24 4.0000000   3.00e+02
63               24 4.5000000   2.30e+02
64               24 5.0000000   2.20e+02
65               48 0.0000000   1.08e+06
66               48 0.1666667   1.36e+06
67               48 0.3333333   4.50e+05
68               48 0.5000000   7.90e+04
69               48 0.6666667   1.40e+04
70               48 0.8333333   1.42e+04
71               48 1.0000000   1.53e+04
72               48 1.3333333   7.00e+03
73               48 1.6666667   2.20e+03
74               48 2.0000000   1.60e+03
75               48 2.5000000   1.20e+03
76               48 3.0000000   6.00e+02
77               48 3.5000000   4.00e+02
78               48 4.0000000   3.00e+02
79               48 4.5000000   1.70e+02
80               48 5.0000000   8.10e+02
81               96 0.0000000   1.08e+06
82               96 0.1666667   9.20e+05
83               96 0.3333333   1.81e+05
84               96 0.5000000   3.23e+04
85               96 0.6666667   2.23e+04
86               96 0.8333333   1.18e+04
87               96 1.0000000   1.30e+04
88               96 1.3333333   4.20e+03
89               96 1.6666667   3.60e+03
90               96 2.0000000   1.12e+03
91               96 2.5000000   3.70e+02
92               96 3.0000000   2.50e+02
93               96 3.5000000   1.50e+02
94               96 4.0000000   1.10e+02
95               96 4.5000000   9.00e+01
96               96 5.0000000   1.50e+02
97              128 0.0000000   1.08e+06
98              128 0.1666667   5.90e+05
99              128 0.3333333   8.70e+04
100             128 0.5000000   3.68e+04
101             128 0.6666667   2.30e+04
102             128 0.8333333   1.03e+04
103             128 1.0000000   3.80e+03
104             128 1.3333333   3.60e+03
105             128 1.6666667   2.20e+03
106             128 2.0000000   5.00e+02
107             128 2.5000000   2.10e+02
108             128 3.0000000   5.00e+01
109             128 3.5000000   5.00e+01
110             128 4.0000000   9.00e+01
111             128 4.5000000   1.40e+02
112             128 5.0000000   1.20e+02
113             256 0.0000000   1.08e+06
114             256 0.1666667   2.27e+05
115             256 0.3333333   3.53e+04
116             256 0.5000000   1.91e+04
117             256 0.6666667   9.50e+03
118             256 0.8333333   7.10e+03
119             256 1.0000000   2.90e+03
120             256 1.3333333   3.70e+02
121             256 1.6666667   1.80e+02
122             256 2.0000000   2.60e+02
123             256 2.5000000   1.10e+02
124             256 3.0000000   1.00e+01
125             256 3.5000000   1.10e+02
126             256 4.0000000   1.00e+02
127             256 4.5000000   1.08e+03
128             256 5.0000000   1.39e+03
